STATEFP,order,NAME
32,378,NV Western
32,379,NV Northwestern
32,380,NV Northeastern
32,381,NV Southern
6,382,CA Coastal North
6,383,CA Mountain North
6,384,CA Central Valley North
6,385,CA Bay Area
6,386,CA Mountain South
6,387,CA Central Valley South
6,388,CA Central Coast
6,389,CA Southern California Coast
6,390,CA Southern California Inland
,,PR
